Price,Type,Living_space,Bedrooms,Bathrooms,Year_built,Year_renovated
85000,Single dwelling,108,2,2,1934,1998
85000,Corner house,250,3,3,1833,2000
85000,Mid-terrace house,115,2,1,1933,2003
85000,Duplex,170,4,2,1900,2010
85000,Single dwelling,100,3,1,1935,2013
85000,Duplex,160,4,2,1974,2015
85000,Multiple dwelling,110,3,1,1925,2020
86000,Mid-terrace house,102.35,4,1,1905,1995
86000,Special property,68,2,1,1979,2000
87000,Single dwelling,45,1,1,1920,1999
87000,Residential property,144,4,1,1920,2000
87000,Mid-terrace house,120,2,1,1900,2005
87500,Mid-terrace house,240,8,3,1962,1995
88000,Corner house,155,5,1,1900,2002
89000,Corner house,151,4,1,1900,1981
89000,Mid-terrace house,74,2,1,1965,1993
89000,Mid-terrace house,160,3,3,1969,1997
89000,Mid-terrace house,158,5,2,1946,1998
89000,Farmhouse,170,5,1,1902,1998
89000,Mid-terrace house,138,2,1,1975,2001
89000,Mid-terrace house,168,6,1,1890,2002
89000,Mid-terrace house,105,2,1,1928,2003
89000,Single dwelling,100,3,1,1930,2003
89000,Multiple dwelling,125,3,2,1900,2012
89000,Mid-terrace house,100,3,1,1900,2015
89000,Mid-terrace house,110,2,1,1912,2016
89500,Mid-terrace house,90,2,2,1930,2005
89500,Duplex,47.01,1,1,1950,2006
90000,Corner house,120,4,1,1927,1999
90000,Multiple dwelling,126,1,1,1900,2000
90000,Mid-terrace house,110,3,1,1886,2000
90000,Single dwelling,56,1,1,1964,2013
91000,Mid-terrace house,120,2,2,1894,1995
92000,Single dwelling,90,1,1,1937,2014
92000,Single dwelling,80,2,1,1850,2019
92300,Farmhouse,84,2,1,1898,2000
93000,Mid-terrace house,70,3,1,1957,2005
94999,Mid-terrace house,190,6,1,1850,2011
95000,Duplex,100,2,1,1900,1997
95000,Mid-terrace house,153,6,2,1936,2000
95000,Mid-terrace house,130,4,2,1972,2009
95000,Single dwelling,190,4,3,1900,2015
95000,Mid-terrace house,138,4,2,1900,2017
95000,Farmhouse,170,5,3,1900,2018
96000,Mid-terrace house,130,4,2,1800,2015
96000,Mid-terrace house,90.96,2,1,1951,2019
97000,Farmhouse,95,2,1,1920,2018
97500,Duplex,200,6,3,1900,2001
98000,Mid-terrace house,144,4,2,1960,1975
98000,Duplex,210,4,3,1900,1999
98000,Mid-terrace house,90,3,1,1960,2000
98000,Multiple dwelling,108.2,2,1,1888,2000
98000,Mid-terrace house,97,1,1,1989,2010
98000,Multiple dwelling,115,2,1,1930,2016
98000,Duplex,300,4,2,1940,2018
98000,Mid-terrace house,52,2,1,1992,2018
99000,Mid-terrace house,123.87,3,3,1900,1979
99000,Single dwelling,95,2,1,1955,2005
99000,Mid-terrace house,200,4,1,1927,2010
99000,Multiple dwelling,110,3,1,1913,2015
99000,Mid-terrace house,180,4,2,1890,2015
99000,Duplex,300,4,4,1833,2016
99000,Mid-terrace house,76,1,1,1950,2016
99000,Duplex,340,4,4,1599,2019
99990,Duplex,220,4,2,1890,2011
100000,Single dwelling,100,2,2,1929,2018
104000,Mid-terrace house,118,4,1,1950,2014
104500,Mid-terrace house,120,3,1,1990,2018
104900,Mid-terrace house,95,3,2,1956,1999
107000,Mid-terrace house,157,4,3,1920,2015
109000,Duplex,140,3,2,1950,2005
109000,Mid-terrace house,109,3,1,1700,2006
109000,Mid-terrace house,72,2,1,1900,2013
109000,Mid-terrace house,100,3,1,2013,2013
109500,Multiple dwelling,144,3,3,1877,2019
109900,Duplex,250,6,5,1910,2017
110000,Duplex,170,3,2,1932,2000
110000,Single dwelling,94,3,1,1923,2005
110000,Farmhouse,90,2,1,1916,2008
110000,Farmhouse,100,2,1,1900,2011
110000,Special property,55,2,1,1979,2015
110000,Mid-terrace house,90,3,1,1960,2017
110000,Single dwelling,106,2,1,1937,2017
112000,Mid-terrace house,130,4,1,1913,2016
113900,Single dwelling,108,3,2,1964,1991
114900,Mid-terrace house,200,3,2,1908,2016
115000,Mid-terrace house,143.63,4,1,1915,1995
115000,Duplex,170,4,4,1892,2000
115000,Mid-terrace house,120,3,1,1932,2010
115000,Mid-terrace house,140,3,2,1986,2010
115000,Mid-terrace house,108,3,1,1962,2011
115000,Multiple dwelling,95,3,2,1982,2012
115000,Mid-terrace house,130,3,2,1910,2014
115000,Single dwelling,110,3,1,1938,2015
115000,Duplex,250,4,3,1850,2017
117000,Multiple dwelling,110,2,1,1940,2018
118000,Duplex,160,4,2,1905,2003
118000,Mid-terrace house,210,5,2,1992,2011
118000,Mid-terrace house,139,3,1,1919,2016
118500,Duplex,231,7,2,1906,1996
119000,Residential property,150,5,1,1960,1980
119000,Mid-terrace house,100,3,1,1930,1997
119000,Mid-terrace house,89,2,2,1936,1998
119000,Mid-terrace house,80,2,1,1936,2000
119000,Single dwelling,80,2,2,1950,2012
119000,Mid-terrace house,100,3,2,1950,2017
119000,Residential property,141,3,2,1996,2018
119000,Single dwelling,110,2,1,1900,2018
119000,Multiple dwelling,94.18,2,1,1900,2020
119999,Mid-terrace house,196,4,2,1848,1999
120000,Farmhouse,120,3,1,1991,1991
120000,Residential property,220,4,3,1900,1995
120000,Single dwelling,120,3,2,1929,2000
120000,Single dwelling,100,2,2,1961,2001
120000,Duplex,266,7,4,1866,2009
120000,Duplex,150,2,2,1960,2010
120000,Single dwelling,140,3,2,1714,2016
120000,Mid-terrace house,80,2,1,1988,2019
121520,Duplex,157,5,2,1905,1981
123100,Mid-terrace house,130,3,1,1930,2001
124000,Mid-terrace house,110.02,3,2,1800,1995
124000,Single dwelling,140,5,1,1952,1995
124000,Farmhouse,80,3,1,1954,2020
125000,Mid-terrace house,95.36,3,1,1900,1957
125000,Mid-terrace house,165,4,1,1800,1981
125000,Single dwelling,90,4,1,1927,1994
125000,Farmhouse,90,1,1,1960,1998
125000,Single dwelling,99,1,1,1929,1998
125000,Mid-terrace house,162,3,2,1985,2002
125000,Mid-terrace house,140,3,2,1953,2005
125000,Mid-terrace house,124,2,1,1936,2013
125000,Mid-terrace house,186,2,1,1910,2013
125000,Single dwelling,164,4,2,1930,2017
125000,Mid-terrace house,175,4,2,1950,2019
125000,Farmhouse,80,3,1,1996,2020
127000,Mid-terrace house,140,4,1,1938,2018
127000,Farmhouse,84,2,2,1955,2019
128000,Multiple dwelling,106,4,1,1901,2000
128000,Single dwelling,115,4,1,1938,2001
128570,Mid-terrace house,137,5,1,1960,2000
129000,Mid-terrace house,130,5,1,1577,1970
129000,Duplex,115,2,2,1900,1978
129000,Duplex,250,3,3,1905,1992
129000,Single dwelling,100,3,2,1953,1996
129000,Mid-terrace house,100,3,1,1960,1997
129000,Corner house,200,5,2,1900,2000
129000,Multiple dwelling,178,4,3,1970,2005
129000,Mid-terrace house,115,4,2,1750,2009
129000,Mid-terrace house,130,3,1,1928,2016
129000,Mid-terrace house,140,1,2,1989,2016
129000,Farmhouse,90,2,1,1900,2017
129000,Mid-terrace house,170,5,2,1910,2018
129000,Multiple dwelling,100,2,1,1920,2019
129000,Mid-terrace house,150.06,4,2,1910,2019
129500,Mid-terrace house,180,4,2,1900,1998
130000,Duplex,201.2,4,4,1906,1998
130000,Residential property,200,2,4,1995,2003
130000,Farmhouse,140,4,1,1968,2006
130000,Mid-terrace house,106.79,3,1,1800,2006
130000,Mid-terrace house,135,6,1,1906,2011
130000,Mid-terrace house,150,3,1,1973,2014
130000,Corner house,180,4,2,1900,2015
130000,Special property,100.26,1,1,1950,2017
130000,Farmhouse,152,3,1,1962,2019
130000,Single dwelling,70,2,1,1902,2019
133000,Corner house,190,6,1,1900,2002
134000,Duplex,190,5,2,1897,2016
134000,Mid-terrace house,72,2,1,1997,2019
135000,Single dwelling,49,2,1,1910,1995
135000,Duplex,163,3,2,1900,2002
135000,Mid-terrace house,127,4,2,1957,2002
135000,Multiple dwelling,95,3,2,1982,2010
135000,Duplex,183,4,3,1956,2014
135000,Duplex,190,3,3,1900,2017
135000,Mid-terrace house,125.18,3,1,1900,2017
135000,Single dwelling,125,3,2,1976,2018
135000,Mid-terrace house,140,3,1,1949,2018
135000,Mid-terrace house,120,3,1,1600,2018
135000,Multiple dwelling,129,3,1,1966,2020
136000,Mid-terrace house,150,2,2,1920,2000
137000,Farmhouse,120,2,2,1956,1995
137500,Single dwelling,75,2,1,1976,2011
138500,Mid-terrace house,180,4,2,1950,1973
139000,Mid-terrace house,170,5,2,1890,1970
139000,Mid-terrace house,130,1,1,1900,1994
139000,Farmhouse,65,1,1,1962,2008
139000,Farmhouse,93,2,1,1926,2011
139000,Mid-terrace house,140,4,2,1957,2014
139000,Mid-terrace house,150,4,1,1984,2015
139000,Single dwelling,123,4,2,1967,2017
139000,Duplex,179,5,3,1924,2018
139000,Mid-terrace house,99.13,3,1,1937,2019
139000,Mid-terrace house,96.49,3,1,1958,2019
139000,Single dwelling,114,3,1,1930,2019
139500,Duplex,200,5,2,1920,2010
140000,Mid-terrace house,220,3,3,1923,2003
140000,Duplex,188,4,2,1900,2010
140000,Duplex,560.27,8,3,1830,2010
140000,Farmhouse,155,3,1,1920,2018
142000,Single dwelling,120,2,2,1958,2019
144000,Single dwelling,120,4,1,1961,2000
144000,Corner house,300,10,3,1850,2000
145000,Farmhouse,80,3,1,1908,1985
145000,Mid-terrace house,148,5,2,1920,1987
145000,Mid-terrace house,149,5,2,1933,1998
145000,Single dwelling,228,4,2,1969,1998
145000,Mid-terrace house,120,4,1,1961,2015
145000,Mid-terrace house,150,4,3,1955,2017
145000,Duplex,308,10,6,1960,2018
148900,Duplex,169,5,2,1978,2016
149000,Mid-terrace house,168,5,1,1971,1990
149000,Mid-terrace house,72.4,2,1,1991,1991
149000,Duplex,323,6,4,1884,1994
149000,Multiple dwelling,108,3,1,1967,1996
149000,Single dwelling,130,4,1,1934,1996
149000,Duplex,321,3,2,1900,1997
149000,Duplex,135,3,2,1900,2000
149000,Castle,400,12,3,1908,2004
149000,Mid-terrace house,106.11,3,2,1956,2005
149000,Mid-terrace house,160,3,1,1932,2005
149000,Corner house,140.9,3,2,1920,2006
149000,Multiple dwelling,112,3,2,1948,2007
149000,Mid-terrace house,93.6,3,1,1935,2008
149000,Mid-terrace house,180,5,2,1957,2009
149000,Special property,40,1,1,1987,2010
149000,Mid-terrace house,120,4,2,1966,2011
149000,Single dwelling,66,2,1,1956,2013
149000,Mid-terrace house,194,5,2,1910,2014
149000,Duplex,136,5,3,1930,2014
149000,Corner house,156,2,1,1900,2015
149000,Farmhouse,127,2,2,1970,2017
149000,Single dwelling,185,2,2,1891,2017
149000,Single dwelling,165,3,3,1935,2018
149000,Mid-terrace house,124,4,2,1900,2018
149000,Duplex,190,3,1,1743,2019
149000,Mid-terrace house,95,3,1,1955,2019
149000,Residential property,230,4,2,1951,2020
149500,Mid-terrace house,163,4,2,1840,1976
149500,Mid-terrace house,160,4,2,1900,2019
149900,Mid-terrace house,113,3,1,1997,2014
150000,Mid-terrace house,99,4,2,1995,1995
150000,Duplex,134,3,2,1900,1997
150000,Single dwelling,130,3,1,1999,1999
150000,Mid-terrace house,160,3,2,1933,1999
150000,Mid-terrace house,150,2,2,1930,1999
150000,Mid-terrace house,75,1,1,1995,2009
150000,Corner house,80,3,1,1890,2014
150000,Mid-terrace house,145,2,2,1950,2014
150000,Duplex,282,3,3,1914,2014
150000,Bungalow,340,5,3,1911,2015
150000,Villa,185,3,3,1936,2015
150000,Duplex,160,3,2,1900,2015
150000,Farmhouse,136,4,1,1935,2015
150000,Mid-terrace house,90,5,1,1928,2017
150000,Mid-terrace house,90,5,1,1928,2017
150000,Single dwelling,318.75,6,3,1963,2017
150000,Single dwelling,318.75,6,3,1963,2017
150000,Residential property,117,4,1,1940,2018
150000,Mid-terrace house,100,3,1,1930,2018
150000,Mid-terrace house,128,3,1,1850,2019
150000,Single dwelling,150,4,2,1936,2019
150000,Mid-terrace house,99,3,2,1900,2020
151000,Mid-terrace house,165,4,2,1984,2017
155000,Duplex,137,4,3,1901,1992
155000,Mid-terrace house,127.01,5,2,1950,1998
155000,Mid-terrace house,177,4,2,1935,2016
155000,Mid-terrace house,85,1,1,1974,2018
157000,Special property,82,2,2,2002,2012
157000,Duplex,240,6,3,1910,2012
157000,Mid-terrace house,200.26,5,2,1965,2012
158000,Mid-terrace house,110,3,1,1999,2019
159000,Single dwelling,190,3,2,1936,1995
159000,Mid-terrace house,110,3,1,1932,1995
159000,Mid-terrace house,170,4,2,1900,1996
159000,Mid-terrace house,100,2,1,1952,2000
159000,Mid-terrace house,100,3,1,1900,2000
159000,Farmhouse,177,3,1,1876,2008
159000,Duplex,200,6,3,1970,2013
159000,Mid-terrace house,110,3,1,1850,2015
159000,Duplex,280,6,3,1948,2017
159000,Mid-terrace house,146,4,2,1976,2019
160000,Duplex,220,4,2,1956,1974
160000,Mid-terrace house,290,2,2,1967,1997
160000,Single dwelling,90,1,1,1954,2007
160000,Mid-terrace house,132,4,2,1896,2012
160000,Mid-terrace house,280,4,2,1927,2013
160000,Mid-terrace house,120,3,1,1936,2015
160000,Duplex,210,8,6,1800,2018
160000,Farmhouse,98.88,2,2,1968,2018
161600,Mid-terrace house,120,2,2,1900,2017
162500,Duplex,340,10,0,1650,1970
163000,Mid-terrace house,83,1,1,1973,2015
164000,Duplex,260,2,1,1950,1975
164000,Mid-terrace house,130,2,2,1907,2007
165000,Duplex,215,6,2,1976,1990
165000,Single dwelling,67,1,1,1937,1997
165000,Mid-terrace house,120,4,2,1900,2003
165000,Bungalow,310,6,4,1870,2010
165000,Multiple dwelling,137.4,1,2,1980,2010
165000,Mid-terrace house,133.5,1,1,1950,2010
